sym,ts,lp,bid_price,bid_quantity,ask_price,ask_quantity
EUR/AUD,2018-12-06T13:00:00.215Z,LP8,1575900,100000000,1576050,100000000
EUR/AUD,2018-12-06T13:00:00.219Z,LP8,1575900,100000000,1576060,100000000
EUR/AUD,2018-12-06T13:00:00.220Z,LP8,1575900,100000000,1576070,100000000
EUR/AUD,2018-12-06T13:00:00.251Z,LP8,1575900,100000000,1576060,50000000
EUR/AUD,2018-12-06T13:00:00.261Z,LP8,1575900,100000000,1576070,100000000
EUR/AUD,2018-12-06T13:00:00.263Z,LP4,1575880,100000000,1576060,100000000
EUR/AUD,2018-12-06T13:00:00.263Z,LP3,1575890,100000000,1576050,100000000
EUR/AUD,2018-12-06T13:00:00.275Z,LP7,1575830,100000000,1576110,100000000
EUR/AUD,2018-12-06T13:00:00.275Z,LP7,1575850,100000000,1576110,100000000
EUR/AUD,2018-12-06T13:00:00.275Z,LP5,1575850,100000000,1576110,100000000
EUR/AUD,2018-12-06T13:00:00.275Z,LP3,1575890,100000000,1576060,100000000
EUR/AUD,2018-12-06T13:00:00.275Z,LP3,1575900,100000000,1576060,100000000
EUR/AUD,2018-12-06T13:00:00.275Z,LP4,1575880,100000000,1576070,100000000
EUR/AUD,2018-12-06T13:00:00.275Z,LP4,1575890,100000000,1576070,100000000
EUR/AUD,2018-12-06T13:00:00.275Z,LP6,1575900,100000000,1576050,100000000
EUR/AUD,2018-12-06T13:00:00.275Z,LP6,1575910,100000000,1576050,100000000
EUR/AUD,2018-12-06T13:00:00.275Z,LP0,1575840,100000000,1576160,100000000
EUR/AUD,2018-12-06T13:00:00.293Z,LP4,1575890,100000000,1576080,100000000
EUR/AUD,2018-12-06T13:00:00.293Z,LP4,1575900,100000000,1576080,100000000
EUR/AUD,2018-12-06T13:00:00.293Z,LP7,1575850,100000000,1576120,100000000
EUR/AUD,2018-12-06T13:00:00.293Z,LP7,1575860,100000000,1576120,100000000
EUR/AUD,2018-12-06T13:00:00.293Z,LP3,1575900,100000000,1576070,100000000
EUR/AUD,2018-12-06T13:00:00.293Z,LP6,1575910,100000000,1576060,100000000
EUR/AUD,2018-12-06T13:00:00.293Z,LP6,1575920,100000000,1576060,100000000
EUR/AUD,2018-12-06T13:00:00.293Z,LP5,1575850,100000000,1576120,100000000
EUR/AUD,2018-12-06T13:00:00.293Z,LP5,1575860,100000000,1576120,100000000
EUR/AUD,2018-12-06T13:00:00.293Z,LP3,1575910,100000000,1576070,100000000
EUR/AUD,2018-12-06T13:00:00.297Z,LP7,1575870,100000000,1576120,100000000
EUR/AUD,2018-12-06T13:00:00.297Z,LP4,1575910,100000000,1576080,100000000
EUR/AUD,2018-12-06T13:00:00.297Z,LP5,1575870,100000000,1576120,100000000
EUR/AUD,2018-12-06T13:00:00.297Z,LP3,1575920,100000000,1576070,100000000
EUR/AUD,2018-12-06T13:00:00.297Z,LP6,1575920,100000000,1576070,100000000
EUR/AUD,2018-12-06T13:00:00.302Z,LP2,1575860,100000000,1576090,100000000
EUR/AUD,2018-12-06T13:00:00.302Z,LP2,1575850,100000000,1576080,100000000
EUR/AUD,2018-12-06T13:00:00.303Z,LP2,1575880,100000000,1576110,100000000
EUR/AUD,2018-12-06T13:00:00.303Z,LP2,1575890,100000000,1576120,100000000
EUR/AUD,2018-12-06T13:00:00.308Z,LP4,1575900,100000000,1576080,100000000
EUR/AUD,2018-12-06T13:00:00.308Z,LP7,1575860,100000000,1576120,100000000
